Reference to the turtle file,Provided Variable Name,Definition,Statistical Modifier,Property (Label),ObjectOfInterest (Label),Matrix (Label),ContextObject (Label),constraint,Constrained component,Applicable units of measure,Reference to issue,Reference to visualized variable,,,,,,,,,
16,Standard metabolic rate in mg of Oxygen per hour,"The measure of an ectotherm animal's baseline metabolic rate (i.e. non-active, non-stressed) measured by the milligrams of oxygen consumed in a period of time of one hour.",,mass flow rate,oxygen,organism,,ectotherm,animal,mg h-1,issue 33,16,,,,,,,,,
,,,,,,,,due to metabolism,mass flow rate,,,,,,,,,,,,
,,,,,,,,non-active,animal,,,,,,,,,,,,
,,,,,,,,non-stressed,animal,,,,,,,,,,,,
17,Docosahexaenoic acid content per dry weight (DHA content/ C22:6 n-3 content),The amount of docosahexaenoic acid relative to dry weight in an individual.,,mass fraction,docosahexaenoic acid,organism,,dry,body,µg µg-1,issue 34,17,,,,,,,,,
18,Biological sex,Biological sex [female | male | intersex | unknown],,biological sex,organism,,,,,,issue 35,18,,,,,,,,,
19,Weight specific-ingestion Carbon rate at 15 °C,The amount of carbon consumed by an organism at non-limiting concentration of food relative to the individual dry weight measured at 15°C. It is expressed as μg C mg DW−1 h−1,,mass flow rate,Carbon,organism,,dry,body,μg mg-1h-1,issue 36,19,,,,,,,,,
,,,,,,,,weight-specific,mass flow rate,,,,,,,,,,,,
,,,,,,,,due to ingestion,mass flow rate,,,,,,,,,,,,
,,,,,,,,at 15°C temperature,mass flow rate,,,,,,,,,,,,
,,,,,,,,at non-limiting conditions,Carbon,,,,,,,,,,,,
20,Concentration of DDT impacted by industry,Concentration of DDT in a given year at a site impacted by industry.,,mass fraction,DDT,soil,,impacted by industry,soil,ng g-1,issue 37,20,,,,,,,,,
21,Resting systolic blood pressure,Resting blood pressure systolic/diastolic in millimeters of mercury (mmHg),,pressure,blood,human,,systolic,pressure,,issue 38,21,,,,,,,,,
,,,,,,,,resting,human,,,,,,,,,,,,
22,Current smoking status,Smoking status current of a patient,,smoking status,patient,,,current,smoking status,,issue 39,22,,,,,,,,,
23,dose of applied nanomaterial internalised by a specific cell population (or per single cell) -mass per cell area,"Correlation of dose and response for nanomaterials toxicity assessment requires information on the amount of the applied dose of nanomaterial that has been internalised by a cell population (or per specific cell) and is dependent on a number of factors including the exposure time, the particle density (i.e., whether settling occurs and thus the distribution of particles in the medium is non-homogeneous affecting the local concentration at the cell surface) etc.",,mass per area,nanomaterial particle,,cell surface,entering the cell,nanomaterial particle,µg µm-2,issue 40,23,,,,,,,,,TRUE
24,dose of applied nanomaterial internalised by a specific cell population (or per single cell) - particle number / cell area,"Correlation of dose and response for nanomaterials toxicity assessment requires information on the amount of the applied dose of nanomaterial that has been internalised by a cell population (or per specific cell) and is dependent on a number of factors including the exposure time, the particle density (i.e., whether settling occurs and thus the distribution of particles in the medium is non-homogeneous affecting the local concentration at the cell surface) etc.",,number per area,nanomaterial particle,,cell surface,entering the cell,nanomaterial particle, µm-2,issue 41,24,,,,,,,,,TRUE
25,Dynamic shear viscosity of polystyrene PS042,Dynamic shear viscosity of polystyrene PS042 under the testing conditions of DIN 51810-1.,,shear viscosity,polystyrene,,,dynamic,shear viscosity,,issue 42,25,,,,,,,,,
26,Sheet resistance of layer of gold,The sheet resistance of a 5-nanometer-thick layer of gold.,,sheet resistance,gold,,,5 nm thick layer,gold,,issue 43,26,,,,,,,,,
27,Mass concentration of isobutylene,Mass concentration of isobutylene in chloroform.,,mass concentration,isobutylene,chloroform,,,,g l-1,issue 44,27,,,,,,,,,
28,Overnight stays in 3-star hotel near the sea shore,Number of nights in a 3-star hotel near the sea shore,,count,overnight stay,hotel,,3 star,hotel,,issue 45,28,,,,,,,,,
,,,,,,,,near the sea shore,hotel,,,,,,,,,,,,
29,Nervosity feelings,"In the past 30 days, how often did you feel nervous?",,frequency,nervosity feeling,person,,during last 30 days,frequency,,issue 46,29,,,,,,,,,
30,Date of last PCR-test,date of last COVID-19 PCR test performed by a certified laboratory,latest,date,COVID-19 PCR test,person,,performed by a certified laboratory,COVID-19 PCR test,,issue 47,30,,,,,,,,,
