model_id,provider,prompt,shots,temperature,reasoning,close_precision,close_recall,close_f1,exact_precision,exact_recall,exact_f1
qwen/qwen3-32b,openrouter,strict-minimal,3,0,enabled,0.2562,0.4505,0.3267,0.2056,0.3941,0.2703
mistralai/ministral-8b-2512,openrouter,matrix-decomposition,3,0.5,not_applicable,0.2577,0.4450,0.3263,0.2160,0.4009,0.2808
qwen/qwen3-8b,openrouter,strict-minimal,5,0.5,disabled,0.2741,0.3989,0.3249,0.2273,0.3530,0.2765
DeepSeek-V4-Flash,psnc,constraint-decomposition,5,0,not_applicable,0.2620,0.4260,0.3245,0.2037,0.3627,0.2609
DeepSeek-V4-Flash,psnc,constraint-decomposition,5,0.5,not_applicable,0.2632,0.4216,0.3241,0.2022,0.3559,0.2579
GLM-5.2,psnc,constraint-decomposition,5,1,disabled,0.2480,0.4655,0.3236,0.1992,0.4081,0.2677
DeepSeek-V4-Flash,psnc,constraint-decomposition,5,1,not_applicable,0.2633,0.4147,0.3221,0.1991,0.3464,0.2529
GLM-5.2,psnc,strict-minimal,3,0,disabled,0.2477,0.4560,0.3210,0.2065,0.4085,0.2743
DeepSeek-V4-Flash,psnc,strict-minimal,3,1,not_applicable,0.2601,0.4124,0.3190,0.2044,0.3529,0.2588
GLM-5.2,psnc,strict-minimal,3,0.5,disabled,0.2534,0.4289,0.3186,0.2127,0.3836,0.2737
Qwen3.8-27B,psnc,constraint-decomposition,3,1,disabled,0.2409,0.4656,0.3175,0.1955,0.4108,0.2650
z-ai/glm-5.2,openrouter,matrix-decomposition,1,0.5,enabled,0.2452,0.4485,0.3170,0.1772,0.3668,0.2390
Qwen3.8-27B,psnc,constraint-decomposition,5,1,disabled,0.2359,0.4824,0.3169,0.1891,0.4246,0.2617
z-ai/glm-5.2,openrouter,matrix-decomposition,0,0,enabled,0.2425,0.4528,0.3159,0.1838,0.3842,0.2486
mistralai/ministral-8b-2512,openrouter,strict-minimal,5,0.5,not_applicable,0.2802,0.3611,0.3156,0.2411,0.3255,0.2770
Qwen3.8-27B,psnc,strict-minimal,5,1,disabled,0.2375,0.4601,0.3133,0.1959,0.4100,0.2652
mistralai/ministral-8b-2512,openrouter,matrix-decomposition,3,1,not_applicable,0.2479,0.4249,0.3131,0.2098,0.3837,0.2713
mistralai/ministral-8b-2512,openrouter,constraint-decomposition,5,0,not_applicable,0.2585,0.3946,0.3124,0.2160,0.3516,0.2676
qwen/qwen3-32b,openrouter,constraint-decomposition,3,1,enabled,0.2328,0.4617,0.3096,0.1802,0.3960,0.2477
qwen/qwen3-8b,openrouter,strict-minimal,3,0.5,enabled,0.2505,0.4041,0.3093,0.1923,0.3399,0.2456
DeepSeek-V4-Flash,psnc,strict-minimal,3,0,not_applicable,0.2545,0.3928,0.3089,0.2002,0.3349,0.2506
z-ai/glm-5.2,openrouter,matrix-decomposition,0,0.5,enabled,0.2346,0.4451,0.3073,0.1724,0.3692,0.2350
DeepSeek-V4-Flash,psnc,strict-minimal,3,0.5,not_applicable,0.2540,0.3872,0.3068,0.2021,0.3322,0.2513
qwen/qwen3-8b,openrouter,constraint-decomposition,5,0.5,enabled,0.2447,0.4112,0.3068,0.1940,0.3534,0.2505
mistralai/ministral-8b-2512,openrouter,constraint-decomposition,5,1,not_applicable,0.2521,0.3868,0.3052,0.2202,0.3528,0.2711
DeepSeek-V4-Flash,psnc,constraint-decomposition,3,1,not_applicable,0.2572,0.3714,0.3039,0.1885,0.2987,0.2312
qwen/qwen3-8b,openrouter,strict-minimal,5,0.5,enabled,0.2466,0.3913,0.3025,0.2047,0.3455,0.2571
qwen/qwen3-8b,openrouter,constraint-decomposition,5,1,enabled,0.2347,0.4167,0.3002,0.1878,0.3611,0.2471
DeepSeek-V4-Flash,psnc,constraint-decomposition,3,0,not_applicable,0.2487,0.3763,0.2994,0.1857,0.3064,0.2312
qwen/qwen3-8b,openrouter,constraint-decomposition,5,0,enabled,0.2421,0.3895,0.2986,0.1950,0.3366,0.2470
GLM-5.2,psnc,matrix-decomposition,1,0,disabled,0.2264,0.4339,0.2975,0.1745,0.3676,0.2367
mistralai/ministral-8b-2512,openrouter,strict-minimal,5,0,not_applicable,0.2744,0.3213,0.2960,0.2423,0.2945,0.2659
GLM-5.2,psnc,matrix-decomposition,1,0.5,disabled,0.2317,0.4087,0.2957,0.1734,0.3390,0.2295
qwen/qwen3-32b,openrouter,constraint-decomposition,3,0.5,enabled,0.2255,0.4290,0.2956,0.1828,0.3757,0.2459
Qwen3.8-27B,psnc,matrix-decomposition,1,1,disabled,0.2275,0.4169,0.2943,0.1707,0.3470,0.2288
openai/gpt-4o-mini,openrouter,matrix-decomposition,3,0.5,not_applicable,0.2553,0.3472,0.2942,0.2007,0.2937,0.2384
openai/gpt-4o-mini,openrouter,matrix-decomposition,3,0,not_applicable,0.2535,0.3489,0.2937,0.2051,0.3003,0.2437
GLM-5.2,psnc,strict-minimal,3,1,disabled,0.2304,0.4040,0.2934,0.1803,0.3428,0.2363
openai/gpt-4o-mini,openrouter,matrix-decomposition,5,0,not_applicable,0.2537,0.3433,0.2918,0.1966,0.2871,0.2334
Qwen3.8-27B,psnc,matrix-decomposition,1,0,disabled,0.2236,0.4147,0.2905,0.1735,0.3532,0.2327
mistralai/ministral-8b-2512,openrouter,strict-minimal,5,1,not_applicable,0.2595,0.3267,0.2893,0.2204,0.2915,0.2510
z-ai/glm-5.2,openrouter,constraint-decomposition,0,0.5,enabled,0.2125,0.4524,0.2891,0.1600,0.3812,0.2254
DeepSeek-V4-Flash,psnc,constraint-decomposition,3,0.5,not_applicable,0.2364,0.3721,0.2891,0.1738,0.3002,0.2201
mistralai/ministral-8b-2512,openrouter,strict-minimal,3,0.5,not_applicable,0.2561,0.3311,0.2888,0.2167,0.2953,0.2500
z-ai/glm-5.2,openrouter,constraint-decomposition,0,1,enabled,0.2183,0.4236,0.2881,0.1542,0.3397,0.2121
Qwen3.8-27B,psnc,strict-minimal,1,0,disabled,0.2204,0.4111,0.2869,0.1639,0.3408,0.2214
GLM-5.2,psnc,matrix-decomposition,0,0,disabled,0.2189,0.4063,0.2845,0.1732,0.3471,0.2311
openai/gpt-4o-mini,openrouter,matrix-decomposition,5,0.5,not_applicable,0.2530,0.3227,0.2836,0.2016,0.2740,0.2323
Qwen3.8-27B,psnc,matrix-decomposition,1,0.5,disabled,0.2132,0.4225,0.2834,0.1648,0.3595,0.2260
mistralai/ministral-8b-2512,openrouter,constraint-decomposition,3,0.5,not_applicable,0.2322,0.3632,0.2832,0.1959,0.3239,0.2441
openai/gpt-4o-mini,openrouter,matrix-decomposition,5,1,not_applicable,0.2465,0.3322,0.2830,0.1981,0.2847,0.2336
GLM-5.2,psnc,matrix-decomposition,1,1,disabled,0.2136,0.4146,0.2820,0.1720,0.3600,0.2328
mistralai/ministral-8b-2512,openrouter,strict-minimal,3,1,not_applicable,0.2492,0.3233,0.2814,0.2144,0.2901,0.2466
Qwen3.8-27B,psnc,constraint-decomposition,1,0,disabled,0.2145,0.4041,0.2802,0.1579,0.3314,0.2139
Qwen3.8-27B,psnc,strict-minimal,1,0.5,disabled,0.2153,0.3975,0.2793,0.1623,0.3301,0.2176
DeepSeek-V4-Flash,psnc,constraint-decomposition,1,0,not_applicable,0.2365,0.3405,0.2791,0.1765,0.2761,0.2153
DeepSeek-V4-Flash,psnc,matrix-decomposition,1,1,not_applicable,0.2250,0.3634,0.2779,0.1665,0.2952,0.2129
mistralai/ministral-8b-2512,openrouter,constraint-decomposition,3,1,not_applicable,0.2254,0.3591,0.2770,0.1883,0.3179,0.2365
Qwen3.8-27B,psnc,constraint-decomposition,1,1,disabled,0.2129,0.3918,0.2759,0.1631,0.3286,0.2180
DeepSeek-V4-Flash,psnc,matrix-decomposition,1,0,not_applicable,0.2241,0.3582,0.2757,0.1699,0.2952,0.2157
DeepSeek-V4-Flash,psnc,strict-minimal,1,0,not_applicable,0.2371,0.3290,0.2756,0.1825,0.2720,0.2185
Qwen3.8-27B,psnc,constraint-decomposition,1,0.5,disabled,0.2078,0.4062,0.2749,0.1569,0.3391,0.2145
GLM-5.2,psnc,matrix-decomposition,0,0.5,disabled,0.2122,0.3863,0.2739,0.1621,0.3205,0.2153
openai/gpt-4o-mini,openrouter,matrix-decomposition,3,1,not_applicable,0.2411,0.3144,0.2729,0.1932,0.2661,0.2239
openai/gpt-4o-mini,openrouter,constraint-decomposition,3,0.5,not_applicable,0.2374,0.3194,0.2724,0.1892,0.2711,0.2229
qwen/qwen3-32b,openrouter,matrix-decomposition,1,0,disabled,0.2094,0.3894,0.2723,0.1662,0.3337,0.2219
GLM-5.2,psnc,constraint-decomposition,1,0,disabled,0.2108,0.3814,0.2715,0.1575,0.3111,0.2091
openai/gpt-4o-mini,openrouter,strict-minimal,3,0,not_applicable,0.2391,0.3132,0.2712,0.1891,0.2636,0.2202
qwen/qwen3-32b,openrouter,matrix-decomposition,1,1,enabled,0.2038,0.4031,0.2708,0.1701,0.3583,0.2307
DeepSeek-V4-Flash,psnc,strict-minimal,1,1,not_applicable,0.2349,0.3168,0.2698,0.1767,0.2568,0.2093
DeepSeek-V4-Flash,psnc,strict-minimal,1,0.5,not_applicable,0.2322,0.3210,0.2694,0.1759,0.2618,0.2104
mistralai/ministral-8b-2512,openrouter,strict-minimal,3,0,not_applicable,0.2362,0.3110,0.2685,0.2053,0.2814,0.2374
GLM-5.2,psnc,matrix-decomposition,0,1,disabled,0.2064,0.3820,0.2680,0.1617,0.3233,0.2155
DeepSeek-V4-Flash,psnc,matrix-decomposition,1,0.5,not_applicable,0.2167,0.3503,0.2677,0.1553,0.2766,0.1989
openai/gpt-4o-mini,openrouter,constraint-decomposition,3,1,not_applicable,0.2295,0.3179,0.2666,0.1812,0.2676,0.2161
DeepSeek-V4-Flash,psnc,constraint-decomposition,0,0.5,not_applicable,0.2280,0.3197,0.2662,0.1747,0.2628,0.2099
openai/gpt-4o-mini,openrouter,constraint-decomposition,3,0,not_applicable,0.2299,0.3154,0.2659,0.1801,0.2637,0.2140
openai/gpt-4o-mini,openrouter,strict-minimal,3,0.5,not_applicable,0.2323,0.3094,0.2653,0.1859,0.2624,0.2176
qwen/qwen3-32b,openrouter,constraint-decomposition,1,0,disabled,0.2016,0.3865,0.2650,0.1606,0.3319,0.2165
DeepSeek-V4-Flash,psnc,matrix-decomposition,0,1,not_applicable,0.2197,0.3321,0.2645,0.1686,0.2732,0.2085
openai/gpt-4o-mini,openrouter,strict-minimal,3,1,not_applicable,0.2330,0.3027,0.2633,0.1774,0.2470,0.2065
DeepSeek-V4-Flash,psnc,constraint-decomposition,1,0.5,not_applicable,0.2264,0.3127,0.2627,0.1711,0.2540,0.2044
qwen/qwen3-32b,openrouter,matrix-decomposition,1,0.5,disabled,0.2028,0.3725,0.2627,0.1652,0.3236,0.2187
DeepSeek-V4-Flash,psnc,constraint-decomposition,1,1,not_applicable,0.2245,0.3135,0.2616,0.1698,0.2549,0.2038
z-ai/glm-5.2,openrouter,strict-minimal,0,1,enabled,0.1964,0.3909,0.2614,0.1420,0.3150,0.1958
qwen/qwen3-32b,openrouter,strict-minimal,1,0.5,enabled,0.1916,0.3989,0.2589,0.1481,0.3363,0.2056
openai/gpt-4o-mini,openrouter,strict-minimal,5,0.5,not_applicable,0.2320,0.2907,0.2581,0.1806,0.2408,0.2064
Qwen3.8-27B,psnc,matrix-decomposition,0,0,disabled,0.1950,0.3793,0.2576,0.1426,0.3074,0.1948
Qwen3.8-27B,psnc,strict-minimal,0,0.5,disabled,0.1984,0.3673,0.2576,0.1532,0.3082,0.2046
GLM-5.2,psnc,constraint-decomposition,1,0.5,disabled,0.1962,0.3725,0.2571,0.1582,0.3199,0.2117
Qwen3.8-27B,psnc,constraint-decomposition,0,0.5,disabled,0.1949,0.3738,0.2562,0.1489,0.3122,0.2016
GLM-5.2,psnc,constraint-decomposition,0,0,disabled,0.1992,0.3563,0.2555,0.1518,0.2949,0.2004
openai/gpt-4o-mini,openrouter,strict-minimal,5,0,not_applicable,0.2324,0.2836,0.2555,0.1804,0.2341,0.2038
qwen/qwen3-32b,openrouter,constraint-decomposition,1,0.5,enabled,0.1928,0.3784,0.2554,0.1482,0.3163,0.2018
mistralai/ministral-8b-2512,openrouter,matrix-decomposition,0,0.5,not_applicable,0.2206,0.3023,0.2550,0.1727,0.2512,0.2047
qwen/qwen3-8b,openrouter,constraint-decomposition,1,0.5,enabled,0.2005,0.3493,0.2548,0.1543,0.2897,0.2014
qwen/qwen3-32b,openrouter,strict-minimal,1,1,enabled,0.1979,0.3565,0.2545,0.1437,0.2847,0.1910
DeepSeek-V4-Flash,psnc,matrix-decomposition,0,0,not_applicable,0.2110,0.3180,0.2537,0.1588,0.2577,0.1965
Qwen3.8-27B,psnc,strict-minimal,1,1,disabled,0.1931,0.3681,0.2534,0.1466,0.3043,0.1979
mistralai/ministral-8b-2512,openrouter,matrix-decomposition,0,0,not_applicable,0.1978,0.3523,0.2533,0.1536,0.2943,0.2018
GLM-5.2,psnc,strict-minimal,1,0,disabled,0.1960,0.3560,0.2528,0.1628,0.3123,0.2140
qwen/qwen3-32b,openrouter,constraint-decomposition,1,1,disabled,0.1893,0.3741,0.2514,0.1484,0.3167,0.2021
openai/gpt-4o-mini,openrouter,constraint-decomposition,5,0.5,not_applicable,0.2215,0.2903,0.2513,0.1824,0.2509,0.2113
GLM-5.2,psnc,strict-minimal,1,0.5,disabled,0.1959,0.3483,0.2507,0.1485,0.2855,0.1954
openai/gpt-4o-mini,openrouter,constraint-decomposition,5,0,not_applicable,0.2180,0.2934,0.2501,0.1676,0.2409,0.1976
DeepSeek-V4-Flash,psnc,matrix-decomposition,0,0.5,not_applicable,0.2068,0.3088,0.2477,0.1549,0.2489,0.1910
openai/gpt-4o-mini,openrouter,strict-minimal,5,1,not_applicable,0.2212,0.2815,0.2477,0.1826,0.2434,0.2087
openai/gpt-4o-mini,openrouter,constraint-decomposition,5,1,not_applicable,0.2115,0.2985,0.2476,0.1680,0.2515,0.2014
qwen/qwen3-8b,openrouter,constraint-decomposition,1,0,enabled,0.1863,0.3648,0.2467,0.1355,0.2897,0.1847
Qwen3.8-27B,psnc,matrix-decomposition,0,1,disabled,0.1924,0.3375,0.2451,0.1480,0.2807,0.1938
Qwen3.8-27B,psnc,matrix-decomposition,0,0.5,disabled,0.1860,0.3582,0.2449,0.1427,0.2979,0.1929
mistralai/ministral-8b-2512,openrouter,matrix-decomposition,1,0.5,not_applicable,0.1986,0.3185,0.2447,0.1546,0.2633,0.1948
DeepSeek-V4-Flash,psnc,constraint-decomposition,0,0,not_applicable,0.2062,0.2982,0.2438,0.1497,0.2340,0.1826
GLM-5.2,psnc,strict-minimal,1,1,disabled,0.1889,0.3429,0.2436,0.1443,0.2825,0.1911
qwen/qwen3-32b,openrouter,constraint-decomposition,1,1,enabled,0.1803,0.3706,0.2426,0.1308,0.2952,0.1813
qwen/qwen3-32b,openrouter,matrix-decomposition,0,1,disabled,0.2014,0.3039,0.2423,0.1493,0.2431,0.1850
qwen/qwen3-32b,openrouter,strict-minimal,1,0.5,disabled,0.1938,0.3222,0.2420,0.1459,0.2616,0.1873
qwen/qwen3-32b,openrouter,matrix-decomposition,1,1,disabled,0.1801,0.3657,0.2413,0.1353,0.2999,0.1864
GLM-5.2,psnc,constraint-decomposition,0,1,disabled,0.1790,0.3657,0.2404,0.1338,0.2989,0.1849
qwen/qwen3-32b,openrouter,matrix-decomposition,0,0,disabled,0.1915,0.3184,0.2392,0.1539,0.2718,0.1965
qwen/qwen3-8b,openrouter,strict-minimal,1,0,enabled,0.1870,0.3304,0.2389,0.1416,0.2691,0.1856
DeepSeek-V4-Flash,psnc,strict-minimal,0,0.5,not_applicable,0.2019,0.2917,0.2387,0.1431,0.2242,0.1747
mistralai/ministral-8b-2512,openrouter,matrix-decomposition,1,0,not_applicable,0.1994,0.2929,0.2373,0.1546,0.2413,0.1884
qwen/qwen3-32b,openrouter,matrix-decomposition,1,0.5,enabled,0.1786,0.3519,0.2369,0.1355,0.2895,0.1846
GLM-5.2,psnc,strict-minimal,0,0.5,disabled,0.1799,0.3441,0.2362,0.1446,0.2940,0.1938
mistralai/ministral-8b-2512,openrouter,strict-minimal,0,1,not_applicable,0.1970,0.2928,0.2355,0.1640,0.2556,0.1998
qwen/qwen3-32b,openrouter,strict-minimal,1,0,disabled,0.1874,0.3135,0.2346,0.1322,0.2418,0.1710
DeepSeek-V4-Flash,psnc,strict-minimal,0,1,not_applicable,0.2035,0.2761,0.2343,0.1622,0.2321,0.1909
Qwen3.8-27B,psnc,strict-minimal,0,0,disabled,0.1745,0.3548,0.2339,0.1254,0.2819,0.1736
DeepSeek-V4-Flash,psnc,strict-minimal,0,0,not_applicable,0.1988,0.2815,0.2330,0.1478,0.2239,0.1781
qwen/qwen3-32b,openrouter,constraint-decomposition,1,0.5,disabled,0.1713,0.3639,0.2329,0.1358,0.3088,0.1887
Qwen3.8-27B,psnc,constraint-decomposition,0,0,disabled,0.1735,0.3453,0.2309,0.1252,0.2748,0.1720
GLM-5.2,psnc,constraint-decomposition,1,1,disabled,0.1780,0.3224,0.2294,0.1429,0.2738,0.1877
GLM-5.2,psnc,constraint-decomposition,0,0.5,disabled,0.1737,0.3319,0.2280,0.1343,0.2732,0.1801
